2019-03-12 17:29,#安全文明出行#,合肥轨道交通安全文明出行为进一步宣传安全文明乘车知识营造良好的安全文明乘车氛围月日合肥轨道交通携手合肥海棠花园小学共同开展了以学雷锋见行动做新时代好少年为主题的志愿活动求关注求关注详情请戳安全文明乘车合肥轨道交通携手海棠花园小安全文明乘车合肥轨道交通携手海棠花园小
2019-03-08 18:20,#合轨风采#,合肥轨道交通合轨风采女性能顶半边天这个世界因为有女性而精彩合肥轨道交通也有许多巾帼不让须眉的女员工她们忠于职守她们默默奉献在各自不同的岗位上散发着平凡而又耀眼的光芒在第个国际妇女节来临之际轨道君跟您聊一聊合肥轨道交通那些半边天中国赞中国赞详情请戳链接求关注求关注展开全文
2019-03-06 14:35,#招聘信息#,合肥轨道交通招聘信息根据合肥市轨道交通运营工作需要现面向社会公开招聘轨道交通相关专业人员有关事项公告请戳链接招聘信息合肥城市轨道交通有限公司运营分招聘信息合肥城市轨道交通有限公司运营分
2019-03-05 18:40,#合轨风采#,合肥轨道交通合轨风采年月日是第个学雷锋日也是第个中国青年志愿者服务日半个世纪以来雷锋精神薪火相传历久弥新焕发着蓬勃向上的正能量全体合肥轨道人一直以公益服务为载体用实际行动学习践行雷锋精神学习雷锋精神不光是在月日这一天更是全年天不间歇今天合肥轨展开全文
2019-03-04 16:35,合肥轨道交通发布了头条文章年春运合肥轨道交通安全运送乘客万人次年春运合肥轨道交通安全运送乘客年春运合肥轨道交通安全运送乘客
2019-03-02 08:30,#安全文明出行#,合肥轨道交通安全文明出行您有份合肥轨道交通文明乘车指南请查收笑哈哈笑哈哈详情请戳图
2019-02-28 18:14,#安全文明出行#,合肥轨道交通安全文明出行月日下午万年埠街道云海社区居委会名志愿者来到了合肥轨道交通号线万达城站在车站工作人员的带领下开展志愿活动为上千名乘客提供引导服务中国赞中国赞详情请戳安全文明出行五心服务在行动文明乘车安全文明出行五心服务在行动文明乘车
2019-02-26 15:26,#活动预告#,合肥轨道交通活动预告融汇城市记忆连通美好生活合肥轨道交通成立十周年之际市轨道交通协会联合市轨道公司举办轨道十周年筑梦新时代主题摄影大赛月日起邀请广大市民热情参与参赛作品获奖选手除了有奖金可拿奖品相送参赛作品还将择优在月至日合肥滨湖国际会展中心举办的中国展开全文
2019-02-21 14:40,#服务资讯#,合肥轨道交通服务资讯月日起宿松路进入祁门路采用右进右出方式通行请大家注意绕行求关注求关注根据我市轨道交通建设总体计划轨道交通号线宿松路站已于年月日开工建设近期因站点施工需要经请示市政府批准同意年月日起施工期间将对宿松路进入祁门路采用右进右出方式通行施工期间展开全文
2019-02-19 16:30,#五心服务 微笑随行#,合肥轨道交通五心服务微笑随行月日上午乘客王女士满怀感激之情来到我市轨道交通号线安农大站将热心助人团圆帮助宝贝回家锦旗赠送给当班的车站工作人员感谢车站热心相助帮助她找到乘车时不慎走失的女儿合肥轨道交通温馨提示广大市民乘客请安全文明乘坐轨道交通出行带儿童的乘客请注意儿展开全文
2019-02-18 18:54,#招聘信息#,合肥轨道交通招聘信息合肥城市轨道交通有限公司年校园招聘本科及以上第二批次开始啦好喜欢好喜欢根据合肥市城市轨道交通建设及运营需要现公开招聘届普通高等学校全日制博士硕士及本科毕业生爱你爱你具体事项公告请戳链接招聘信息合肥城市轨道交通有限公司年招聘信息合肥城市轨道交通有限公司年
2019-02-18 18:48,#招聘信息#,合肥轨道交通招聘信息合肥城市轨道交通有限公司年社会招聘第一批次开始啦好喜欢好喜欢根据合肥城市轨道交通建设与管理需要现面向社会公开招聘轨道交通相关专业人员有关事项公告请戳链接中国赞中国赞招聘信息合肥城市轨道交通有限公司年招聘信息合肥城市轨道交通有限公司年
2019-02-16 08:35,#“五心”服务 微笑随行#,合肥轨道交通五心服务微笑随行近日乘客周志勇先生手持拾金不昧品德高尚锦旗来到合肥轨道交通号线振兴路站将锦旗送到车站工作人员手中对车站及时帮助他寻回失物表示了真挚谢意中国赞中国赞想知道更多详情请戳图求关注求关注求关注求关注
2019-02-14 17:36,#“五心”服务 微笑随行#,合肥轨道交通五心服务微笑随行近日一名两岁左右的女童随同母亲乘坐合肥轨道交通号线时突然晕倒葛大店站工作人员第一时间提供援助并帮助女童母亲一同将女童送往医院进行救治心心五心服务微笑随行两岁女童车站突然晕五心服务微笑随行两岁女童车站突然晕
2019-02-13 17:02,#招聘信息#,合肥轨道交通招聘信息合肥城市轨道交通有限公司运营分公司届校园招聘大专高职类第二批次开始啦根据合肥市城市轨道交通号线运营需要本着统筹规划总量控制结构合理提前储备原则现运营分公司公开招聘第二批次届轨道交通类院校相关专业大专高职应届毕业生人详情请戳展开全文
2019-02-13 15:57,#活动回顾#,合肥轨道交通活动回顾月日合肥轨道交通迎来年第二期排队候车主题活动宣传日活动当天余名市轨道公司一线员工及党员代表在轨道交通号线大东门站号线四牌楼站三里庵站担任引导员引导广大乘客排队候车在他们耐心周到的服务下众多乘客纷纷自觉排队上下车通道顺畅站台井然有序极展开全文
2019-02-13 15:57,#春节我在岗系列报道九#,合肥轨道交通春节我在岗系列报道九巡检线路抬运轨枕更换伤损钢轨这些都是孟祥宇再熟悉不过的了作为合肥轨道交通工务中心的一名轨道检修员这个春节孟祥宇没有选择回蚌埠老家过年而是留在工作岗位保障轨道交通的运行安全中国赞中国赞爱你爱你想知道更多吗请戳图嘻嘻嘻嘻
2019-02-12 17:57,#合轨风采#,合肥轨道交通合轨风采新年伊始合肥轨道交通即传喜讯中国赞中国赞近日交通运输部办公厅关于年中国技能大赛第十届全国交通运输行业职业技能大赛优胜单位和个人的通报发布合肥轨道交通员工严顺红宋能超被授予全国交通技术能手称号赞啊赞啊好爱哦好爱哦详情请戳图
2019-02-11 17:25,合肥轨道交通发布了头条文章春节假期合肥轨道交通安全运送乘客万人次春节假期合肥轨道交通安全运送乘客万春节假期合肥轨道交通安全运送乘客万
2019-02-11 08:31,#春节我在岗系列报道七#,合肥轨道交通春节我在岗系列报道七轨道蜘蛛侠守护接触网安全全靠他中国赞中国赞合肥轨道交通供电中心接触网代班工长接学伟有一个响亮的外号轨道蜘蛛侠他这个蜘蛛侠攀爬的网有点儿与众不同轨道交通接触网主要为列车输送电力接学伟的主要职责就是确保接触网的良好运行春节假期期间接学展开全文
